Название,Сеть,Адрес,Город,Оборудование в магазине,Статус поддержки,tClients,name_combined
139325,Теле-2,"г. Ставрополь, пр-т Карла Маркса, д. 98 (Цифровой пятак)",,139325_ESL-ZKong,На поддержке,"Ставропольский филиал ООО ""Т2 Мобайл""",139 325
139768,Теле-2,"г. Ставрополь, ул. Доваторцев, д. 75А, ТЦ Космос",,139768_ESL-ZKong,На поддержке,"Ставропольский филиал ООО ""Т2 Мобайл""",139 768
142223,Теле-2,"г. Ставрополь, ул.Тухачевского, д. 16Б  Рынок",,142223_ESL-ZKong,На поддержке,"Ставропольский филиал ООО ""Т2 Мобайл""",142 223
116172,Теле-2,"г. Геленджик, ул. Ленина, д. 1",,116172_ESL-SES,Нет активной поддержки,Краснодарский филиал Т2 МОБАЙЛ ООО,116 172
820521,Теле-2,"г. Краснодар, Майкоп, ул. Пролетарская, д. 205",,820521_ESL-ZKong,Нет активной поддержки,Краснодарский филиал Т2 МОБАЙЛ ООО,820 521
124127,Теле-2,"г. Краснодар, ул. Покрышкина, д. 34",,124127_ESL-ZKong,Нет активной поддержки,Краснодарский филиал Т2 МОБАЙЛ ООО,124 127
995810,Теле-2,"г. Краснодар, ул. Головатова, д. 313",,995810_ESL-SES,Архивный,Краснодарский филиал Т2 МОБАЙЛ ООО,995 810
125340,Теле-2,"аул Новая Адыгея, Тургеневское ш., д. 27",,125340_ESL-ZKong,На поддержке,Краснодарский филиал Т2 МОБАЙЛ ООО,125 340
1000028,Теле-2,"г. Усть-Лабинск, ул. Ободовского, д. 27",,1000028_ESL-SES,Нет активной поддержки,Краснодарский филиал Т2 МОБАЙЛ ООО,1 000 028
1049427,Теле-2,"г. Аксай, Аксайский пр-т, д. 23, ТРК «МЕГА» ",,1049427_ESL-SES,На поддержке,Ростовский филиал Т2 МОБАЙЛ ООО,1 049 427
1001794,Теле-2,"г. Батайск, ул. Кирова, д. 8",,1001794_ESL-SES,Нет активной поддержки,Ростовский филиал Т2 МОБАЙЛ ООО,1 001 794
67529,Теле-2,"г. Новошахстинск, ул. Базарная, д. 29",,67529_ESL-SES,На поддержке,Ростовский филиал Т2 МОБАЙЛ ООО,67 529
981941,Теле-2,"г. Ростов-на-Дону, ул. Зорге, д. 33",,981941_ESL-ZKong,Нет активной поддержки,Ростовский филиал Т2 МОБАЙЛ ООО,981 941
1001462,Теле-2,"г. Ростов-на-Дону, пр-т Космонавтов, д. 2/2",,1001462_ESL-SES,Нет активной поддержки,Ростовский филиал Т2 МОБАЙЛ ООО,1 001 462
65121,Теле-2,"г. Ростов-на-Дону, ул. Б. Садовая, д. 43",,65121_ESL-ZKong,Нет активной поддержки,Ростовский филиал Т2 МОБАЙЛ ООО,65 121
1047269,Теле-2,"г. Ростов-на-Дону, ул Малиновского, д. 25",,1047269_ESL-SES,На поддержке,Ростовский филиал Т2 МОБАЙЛ ООО,1 047 269
132952,Теле-2,"г. Ростов-на-Дону, пр-т Косомнавтов, д. 19а/28Ж",,132952_ESL-ZKong,На поддержке,Ростовский филиал Т2 МОБАЙЛ ООО,132 952
59052,Теле-2,"г. Таганрог, Спартаковский пер., д. 3",,59052_ESL-SES,На поддержке,Ростовский филиал Т2 МОБАЙЛ ООО,59 052
784682,Теле-2,"г. Дмитров, ул. Загорская, д22 ",,784682_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",784 682
782274,Теле-2,"МО, г. Красногорск. Международная 12 ТЦ Вегас ",,782274_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",782 274
784671,Теле-2,МО_Зеленоград_ТЦ Иридиум_ТЕЛЕ2+Xiaomi -,,784671_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",784 671
137745,Теле-2,"МО, г. Красногорск, 66км МКАД, д.1",,137745_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",137 745
821532,Теле-2,МО_Люберцы_Октябрьский просп.366_Орбита,,821532_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",821 532
782279,Теле-2,"МО, г. Мытищи, ул. Мира, стр. 51",,782279_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",782 279
1063869,Теле-2,"Московская область, город Орехово-Зуево, улица Ленина, дом 78, пом. 1,9",,1063869_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",1 063 869
127881,Теле-2,"МО, Рамен.г.о,д.Островцы,ул. Подмосковная д.37, ТРЦ Мой Молл",,127881_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",127 881
1049428,Теле-2,"МО, г. Серпухов, ул. Ворошилова, д. 214_ТЦ Элефант",,1049428_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 049 428
782305,Теле-2,"Москва. Новокосинская, 31",,782305_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",782 305
932484,Теле-2,"Москва. Сходненская, 56",,932484_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",932 484
844652,Теле-2,"Москва. Красная пресня, 44",,844652_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",844 652
848698,Теле-2,"Москва, Веневская, ТЦ Витте Молл -",,848698_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",848 698
1000173,Теле-2,Москва. Декабристов 12,,1000173_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",1 000 173
1000730,Теле-2,"Москва, ТЦ Форт, Новоясеневский 11",,1000730_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 000 730
1014809,Теле-2,"Москва, ТЦ Водный, Головинское ш.5",,1014809_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 014 809
116647,Теле-2,"г. Москва, Зеленоград, корп. 1446, ТЦ Столица",,116647_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",116 647
1047794,Теле-2,"г. Москва, ул. Кустанайская, д.6, ТЦ Столица",,1047794_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 047 794
1021701,Теле-2,"г. Москва, Локомотивный пр-д, д. 4, ТЦ Парус",,1021701_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 021 701
1043638,Теле-2,"г. Москва, р-н Щукино, ул. Щукинская, д. 42 ТРК
  ""Щука"" ",,1043638_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 043 638
775840,Теле-2,"г. Москва Пражская ул. Кировоградская, д.13А ТРЦ Columbus",,775840_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",775 840
1049426,Теле-2,"г. Москва, Нахимовский пр-кт, д. 40",,1049426_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 049 426
1055072,Теле-2,"г. Москва, ул. 2-я Владимирская, 36",,1055072_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 055 072
1004153,Теле-2,"г. Москва, ш. Щелковское, 75",,1004153_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 004 153
1049425,Теле-2,"г. Москва Бабушкинская пр-д Дежнёва, 23а Эгомолл",,1049425_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 049 425
1056785,Теле-2,"г. Москва, Дмитровское шоссе, д.89, ТЦ XL Дмитровка",,1056785_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 056 785
1056466,Теле-2,"г. Москва, ул. Бутырская 2/18",,1056466_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",1 056 466
993810,Теле-2,"г. Москва, Чертановская 20/22, ТЦ Гравитация",,993810_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",993 810
1047268,Теле-2,"г. Москва, ул. Б. Черемушкинская 1, ТЦ ""Рио""",,1047268_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 047 268
1024731,Теле-2,"г. Москва, ул. Каховка, д.29А ТЦ Прайм Плаза",,1024731_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 024 731
1083914,Теле-2,"г. Москва, Багратионовский проезд д.5 ТЦ Филион -",,1083914_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 083 914
1086736,Теле-2,"г. Москва, Новослободская, д. 10",,1086736_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 086 736
818289,Теле-2,"г. Москва, пр. Свободный, 33А",,818289_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",818 289
1111667,Теле-2,"г Москва, ул. Мира 114 стр2",,1111667_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",1 111 667
137619,Теле-2,"г. Москва, Ходынский б-р, д. 4 ТЦ “Авиапарк”",,137619_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",137 619
954006,Теле-2,"г. Москва, пл. Киевского вокзала, д. 2, ТЦ «Европейский»",,954006_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",954 006
104114,Теле-2,"г. Москва, Пролетарский проспект д. 30, ТЦ «Ашан»",,104114_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",104 114
782295,Теле-2,"г. Москва, ул. Профсоюзная, д. 129А, ТЦ ""Принц Плаз""",,782295_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",782 295
774970,Теле-2,"г. Москва, ул. Фестивальная 2Б, ТРК Речной",,774970_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",774 970
116645,Теле-2,"г. Москва, Солнцевский пр-т, 21, ТЦ Столица",,116645_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",116 645
118951,Теле-2,"г. Москва, ул Авиаторов 3А, ТЦ Небо",,118951_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",118 951
925353,Теле-2,"г. Москва, ул. 7-ая Кожуховская, д.9, ТЦ Мозайка",,925353_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",925 353
788160,Теле-2,"г. Москва, Каширское ш., д. 26",,788160_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",788 160
786259,Теле-2,"г. Москва, Люблинская ул, д. 169к2",,786259_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",786 259
124126,Теле-2,"г. Москва, ул. Дыбенко, 71 (Ховрино, 3)",,124126_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",124 126
775853,Теле-2,"г. Москва, ул. Борисовские Пруды 26 к2_ТЦ Браво",,775853_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",775 853
122832,Теле-2,"г. Москва, Ореховый б-р, 15_ТЦ Галерея Водолей",,122832_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",122 832
125378,Теле-2,"г. Москва, Измайловское ш.69Д_ТЦ Альбатрос",,125378_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",125 378
126928,Теле-2,"г. Москва, ул. Ярцевская, д.25А ТЦ Трамплин",,126928_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",126 928
126236,Теле-2,"г. Москва, Ореховый б-р, д. 22_ТЦ Облака",,126236_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",126 236
127879,Теле-2,"г. Москва, ш. Варшавское, д.152А, ТЦ Сомбреро",,127879_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",127 879
125750,Теле-2,"г. Москва, Проспект Андропова д.8 ТЦ Мегаполис",,125750_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",125 750
126234,Теле-2,"г. Москва, ул. Красного Маяка, 2Б",,126234_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",126 234
126931,Теле-2,"г. Москва, пр-кт Мира, 40, ТЦ Гарденмир",,126931_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",126 931
128990,Теле-2,г. Москва_мкрн_Северное_Чертаново_1А_ТЦ Авентура_TOS,,128990_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",128 990
945252,Теле-2,"г. Москва, ш. Киевское, д.23-й км, 1 ТЦ Солярис",,945252_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",945 252
131359,Теле-2,"г. Москва, Большая Семёновская 20",,131359_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",131 359
123441,Теле-2,"г. Москва, ул. 6-я Нововатутинская, д.2",,123441_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",123 441
985575,Теле-2,"г. Москва, Аминьевское шоссе 6, ТЦ Квартал Вест",,985575_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",985 575
135368,Теле-2,"г. Москва, ул. Новый Арбат, 3с1",,135368_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",135 368
983698,Теле-2,"г. Москва, ул. Автозаводская, д. 18, ТЦ Ривьера",,983698_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",983 698
130077,Теле-2,"г. Москва, Павелецкая пл., д. 3 ТЦ Павелецкая плаза",,130077_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",130 077
132819,Теле-2,"г. Москва, Земляной Вал, 29",,132819_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",132 819
124354,Теле-2,"г. Москва, Ботанический сад ул. Леонова 18",,124354_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",124 354
1001160,Теле-2,"Московский, Никитина 2а",,1001160_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 001 160
949098,Теле-2,Москва\_Румянцево\_Киевское шоссе\_22й км\_д.6\_стр\_1\_БЦ Comcity,,949098_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",949 098
782248,Теле-2,"г. Мытищи, Шараповский проезд д.2 ТЦ Красный Кит",,782248_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",782 248
1085104,Теле-2,"г. Одинцово, Маршала Неделина, 6",,1085104_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 085 104
1069135,Теле-2,"Реутов, ул. Октября 10",,1069135_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 069 135
1039614,Теле-2,"г. Химки, Дружба 1а",,1039614_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 039 614
133110,Теле-2,Москва_Белорусская_ул_Тверская_Застава_3_Афимолл_2_TOS,,133110_,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",133 110
133066,Теле-2,"Москва_Полежаевская_Хорошевское шоссе, д.27_ТРЦ Хорошо_Релокация_TOS",,133066_,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",133 066
133013,Теле-2,МО_Одинцовский_го_село_Юдино_55Е_ТЦ_ОдиПарк_TOS,,133013_,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",133 013
126926,Теле-2,Москва_ул_Академика_Алиханова_д4_ТЦ_Грис_Молл_126926_TOS,,126926_,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",126 926
123442,Теле-2,Москва_Кузьминки_ул_Зеленодольская_вл_42_ТЦ_Кузьминки_Молл_TOS,,123442_,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",123 442
142488,Теле-2,Москва_Кузьминки_пр-т_Волгоградский_82/37_Cofix_TRS,,142488_,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",142 488
1043903,Теле-2,Москва_Рассказовка_дер_Рассказовка_ул_Корнея_Чуковского_д_2_ТЦ_Сказка_TOS,,1043903_,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 043 903
945258,Теле-2,Москва_Теплый стан_Новоясеневский проспект_д_1_ТРЦ Спектр_TOS,,945258_,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",945 258
1083912,Теле-2,"г. Кемерово, пр-т Молодежный, д. 2а",,1083912_ESL-SES,Нет активной поддержки,"Кемеровский филиал ООО ""Т2 Мобайл""",1 083 912
130090,Теле-2,"г. Кемерово, пр-т Шахтеров, д. 54",,130090_ESL-ZKong,Нет активной поддержки,"Кемеровский филиал ООО ""Т2 Мобайл""",130 090
115036,Теле-2,"г. Новокузнецк, ул. Кирова, д. 55, ТРЦ СитиМолл",,115036_ESL-ZKong,Нет активной поддержки,"Кемеровский филиал ООО ""Т2 Мобайл""",115 036
127878,Теле-2,"г. Новокузнецк, ул. ДОЗ, д. 10А",,127878_ESL-ZKong,Нет активной поддержки,"Кемеровский филиал ООО ""Т2 Мобайл""",127 878
137711,Теле-2,"г. Новокузнецк, пр-т Запсибовцев, д. 16, ТЦ Бриз",,137711_,Архивный,"Кемеровский филиал ООО ""Т2 Мобайл""",137 711
746760,Теле-2,"г. Ачинск, 6-й Микрорайон, д. 8",,746760_ESL-SES,Нет активной поддержки,"Красноярский филиал ООО ""Т2 Мобайл""",746 760
746767,Теле-2,"г. Красноярск, пр-т им. газеты Красноярский рабочий, д. 27",,746767_ESL-SES,Нет активной поддержки,"Красноярский филиал ООО ""Т2 Мобайл""",746 767
745523,Теле-2,"г. Красноярск, пр-т им. газеты Красноярский рабочий, д. 120",,745523_ESL-SES,Нет активной поддержки,"Красноярский филиал ООО ""Т2 Мобайл""",745 523
880610,Теле-2,"г. Красноярск, ул. Мартынова, д. 12",,880610_ESL-ZKong,Нет активной поддержки,"Красноярский филиал ООО ""Т2 Мобайл""",880 610
748457,Теле-2,"г. Красноярск, ул. 9 мая, д. 77, ТРЦ Планета",,748457_ESL-SES,Нет активной поддержки,"Красноярский филиал ООО ""Т2 Мобайл""",748 457
113676,Теле-2,"г. Красноярск, ул. Телевизорная, д. 1, стр. 90",,113676_ESL-ZKong,Нет активной поддержки,"Красноярский филиал ООО ""Т2 Мобайл""",113 676
15562,Теле-2,"г. Бердск, ул. Ленина, д. 52",,15562_ESL-SES,Нет активной поддержки,"Новосибирский  филиал ООО ""Т2 Мобайл""",15 562
1001875,Теле-2,"г. Новосибирск, ул. Военная, д. 5, ТЦ Аура",,1001875_ESL-SES,Архивный,"Новосибирский  филиал ООО ""Т2 Мобайл""",1 001 875
763990,Теле-2,"г. Новосибирск, ул. Курчатова, д. 1",,763990_ESL-SES,Нет активной поддержки,"Новосибирский  филиал ООО ""Т2 Мобайл""",763 990
20456,Теле-2,"г. Новосибирск, ул. Дзержинского, д. 61",,20456_ESL-SES,Нет активной поддержки,"Новосибирский  филиал ООО ""Т2 Мобайл""",20 456
68983,Теле-2,"г. Новосибирск, Красный пр-т, д. 188",,68983_ESL-SES,Нет активной поддержки,"Новосибирский  филиал ООО ""Т2 Мобайл""",68 983
730687,Теле-2,"г. Омск, б-р Архитекторов, д.35 СТЦ «Мега»",,730687_ESL-SES,Архивный,"Омский  филиал ООО ""Т2 Мобайл""",730 687
961411,Теле-2,"г. Томск, ул. Беринга, д. 10",,961411_ESL-ZKong,Нет активной поддержки,Томский филиал Т2 МОБАЙЛ ООО,961 411
1062841,Теле-2,"г. Томск, Комсомольский пр-т, д. 13б (Изумрудный город)",,1062841_ESL-SES,На поддержке,Томский филиал Т2 МОБАЙЛ ООО,1 062 841
115034,Теле-2,"г. Абакан, Некрасова, д. 31а",,115034_ESL-SES,Нет активной поддержки,Хакасия и Тыва филиал ООО “Т2 Мобайл”,115 034
879334,Теле-2,"г. Абакан, Пушкина, д. 48",,879334_ESL-SES,На поддержке,Хакасия и Тыва филиал ООО “Т2 Мобайл”,879 334
1095903,Теле-2,"г. Кызыл, ул. Кочетова, д. 47",,1095903_ESL-SES,На поддержке,Хакасия и Тыва филиал ООО “Т2 Мобайл”,1 095 903
1018332,Теле-2,"Белгородская обл., г. Алексеевка, ул. Мостовая, д. 71",,1018332_ESL-SES,Архивный,"Белгородский филиал ООО ""Т2 Мобайл""",1 018 332
754507,Теле-2,"г. Белгород, ул. Попова, д. 25",,754507_ESL-SES,Нет активной поддержки,"Белгородский филиал ООО ""Т2 Мобайл""",754 507
47341,Теле-2,"г. Белгород, Гражданский пр-т, д. 10",,47341_ESL-SES,Нет активной поддержки,"Белгородский филиал ООО ""Т2 Мобайл""",47 341
1018302,Теле-2,"г. Белгород, ул. Щорса, д. 64.",,1018302_ESL-SES,На поддержке,"Белгородский филиал ООО ""Т2 Мобайл""",1 018 302
968265,Теле-2,"г. Белгород, ул. Макаренко, д.12",,968265_ESL-SES,На поддержке,"Белгородский филиал ООО ""Т2 Мобайл""",968 265
964040,Теле-2,"г. Курск, ул. Карла Маркса, д. 6",,964040_ESL-ZKong,Нет активной поддержки,"Курский филиал ООО ""Т2 МОБАЙЛ""",964 040
1071538,Теле-2,"г. Липецк, ул. Титова, д. 10",,1071538_ESL-SES,Нет активной поддержки,"Липецкий филиал ООО ""Т2 Мобайл""",1 071 538
737945,Теле-2,"г. Липецк, пл. Победы, д. 1  ",,737945_ESL-SES,Нет активной поддержки,"Липецкий филиал ООО ""Т2 Мобайл""",737 945
127466,Теле-2,"г. Липецк, ул. Советская, д. 66 ",,127466_ESL-SES,Нет активной поддержки,"Липецкий филиал ООО ""Т2 Мобайл""",127 466
742532,Теле-2,"г. Саранск, ул. Пролетарская, д. 79",,742532_ESL-SES,Нет активной поддержки,Саранский филиал ООО “Т2 Мобайл”,742 532
826700,Теле-2,"г. Саранск, ул. Волгоградская, д. 71",,826700_ESL-SES,Нет активной поддержки,Саранский филиал ООО “Т2 Мобайл”,826 700
781841,Теле-2,"г. Ливны, пл. Автовокзальная, д.2",,781841_ESL-SES,Нет активной поддержки,"Орловский филиал ООО ""Т2 Мобайл""",781 841
1056465,Теле-2,"г. Орел, ул. Комсомольская, д. 229А",,1056465_ESL-SES,На поддержке,"Орловский филиал ООО ""Т2 Мобайл""",1 056 465
108276,Теле-2,"г. Пенза, ул. Кирова, д. 73",,108276_ESL-SES,Нет активной поддержки,"Пензенский филиал ООО ""Т2 Мобайл""",108 276
845343,Теле-2,"г. Пенза, ул. Суворова, д. 144А",,845343_ESL-SES,Нет активной поддержки,"Пензенский филиал ООО ""Т2 Мобайл""",845 343
113616,Теле-2,"г. Пенза , пр-т Строителей, д. 1В",,113616_ESL-SES,Нет активной поддержки,"Пензенский филиал ООО ""Т2 Мобайл""",113 616
740626,Теле-2,"г. Пенза, с.Засечное, ул. Новотерновская, д. 1, ТЦ Слава",,740626_ESL-SES,Нет активной поддержки,"Пензенский филиал ООО ""Т2 Мобайл""",740 626
736578,Теле-2,"г. Саратов,  ул. Тархова, д. 29а, «Рынок Солнечный»",,736578_ESL-SES,Нет активной поддержки,"Саратовский филиал ООО ""Т2 Мобайл""",736 578
1082903,Теле-2,"г. Саратов, пр-т Кирова, д. 23",,1082903_ESL-SES,Нет активной поддержки,"Саратовский филиал ООО ""Т2 Мобайл""",1 082 903
768754,Теле-2,"г. Энгельс, ул. Ленина, д. 4",,768754_ESL-SES,Нет активной поддержки,"Саратовский филиал ООО ""Т2 Мобайл""",768 754
90002,Теле-2,"г. Борисоглебск, ул. Советская, д. 37",,90002_ESL-SES,Нет активной поддержки,Воронежский филиал Т2 МОБАЙЛ ООО,90 002
1017611,Теле-2,"г. Воронеж, Ленинский пр-т, д. 174п",,1017611_ESL-SES,Нет активной поддержки,Воронежский филиал Т2 МОБАЙЛ ООО,1 017 611
1106428,Теле-2,"г. Воронеж, б-р Победы, д. 23Б, ТЦ Арена ",,1106428_ESL-SES,Нет активной поддержки,Воронежский филиал Т2 МОБАЙЛ ООО,1 106 428
909018,Теле-2,"г. Воронеж, ул. Героев Сибиряков, д. 65А, ТЦ Армада",,909018_ESL-SES,Нет активной поддержки,Воронежский филиал Т2 МОБАЙЛ ООО,909 018
918765,Теле-2,"г. Воронеж, Московский пр-т, д. 129/1, ТЦ МП",,918765_ESL-ZKong,Нет активной поддержки,Воронежский филиал Т2 МОБАЙЛ ООО,918 765
1050098,Теле-2,"г. Воронеж, ул. Парковая, д. 3",,1050098_ESL-SES,На поддержке,Воронежский филиал Т2 МОБАЙЛ ООО,1 050 098
1060740,Теле-2,"г. Воронеж, ул. 20-летия октября, д. 90 ",,1060740_ESL-SES,На поддержке,Воронежский филиал Т2 МОБАЙЛ ООО,1 060 740
836876,Теле-2,"г. Брянск, ул. Красноармейская, д. 100 ",,836876_ESL-SES,Нет активной поддержки,Брянский филиал Т2 МОБАЙЛ ООО,836 876
98609,Теле-2,"г. Брянск, ул. Объездная, д. 30",,98609_ESL-SES,На поддержке,Брянский филиал Т2 МОБАЙЛ ООО,98 609
1009023,Теле-2,"г. Брянск, ул. 3 Интернационала, д. 8",,1009023_ESL-SES,Нет активной поддержки,Брянский филиал Т2 МОБАЙЛ ООО,1 009 023
58517,Теле-2,"г. Тамбов, Коммунальная ул./Носовская ул., д. 21/7",,58517_ESL-ZKong,Нет активной поддержки,Тамбовский филиал Т2 МОБАЙЛ ООО,58 517
903417,Теле-2,"г. Тамбов, ул. Мичуринская, д. 211 ",,903417_ESL-SES,Нет активной поддержки,Тамбовский филиал Т2 МОБАЙЛ ООО,903 417
139711,Теле-2,"г. Тамбов, ул. Чичерина , д. 3",,139711_ESL-ZKong,На поддержке,Тамбовский филиал Т2 МОБАЙЛ ООО,139 711
113630,Теле-2,"г. Сыктывкар, Октябрьский пр-т, д. 141",,113630_ESL-ZKong,Нет активной поддержки,"Сыктывкарский филиал ООО ""Т2 Мобайл""",113 630
933989,Теле-2,"г. Ухта, ул. Заводская, д. 3",,933989_ESL-ZKong,Нет активной поддержки,"Сыктывкарский филиал ООО ""Т2 Мобайл""",933 989
111383,Теле-2,"г. Сыктывкар, ул. Коммунистическая, д. 50",,111383_ESL-SES,Нет активной поддержки,"Сыктывкарский филиал ООО ""Т2 Мобайл""",111 383
797957,Теле-2,"г. Нефтеюганск, 2-й мкрн., д. 33",,797957_ESL-ZKong,Нет активной поддержки,Ханты-Мансийский филиал Т2 МОБАЙЛ ООО,797 957
1071722,Теле-2,"г. Нижневартовск, ул. Ленина, д. 15П, ТЦ Югра Молл (у поддержки Кузоваткина 17)",,1071722_ESL-SES,Нет активной поддержки,Ханты-Мансийский филиал Т2 МОБАЙЛ ООО,1 071 722
112478,Теле-2,"г. Нижневартовск, ул. Ленина, д. 8",,112478_ESL-ZKong,Нет активной поддержки,Ханты-Мансийский филиал Т2 МОБАЙЛ ООО,112 478
1134063,Теле-2,"г. Сургут, пр-т Ленина, д. 37",,1134063_ESL-SES,Нет активной поддержки,Ханты-Мансийский филиал Т2 МОБАЙЛ ООО,1 134 063
