Название,Сеть,Адрес,Оборудование в магазине,Статус поддержки,tClients,name_combined,Город,Column 11,lat,lon,регион,tInvoices
2648,Перекрёсток,"М.о., г. Подольск, ул. Ленинградская, д.21",,,,2 648,,,,,,
2059,Перекрёсток,"г. Москва, ул. Покрышкина, д. 5",,,,2 059,,,,,,
2244,Перекрёсток,"г. Москва, тер. Щербинка, ул. Брусилова , д. 29а",,,,2 244,,,,,,
2608,Перекрёсток,"г. Москва, ул. Медынская, д. 7, стр. 1",,,,2 608,,,,,,
В360,Перекрёсток,#Н/Д,,,,В360,,,,,,
2922,Перекрёсток,"г. Москва, Каширское шоссе, д. 26",,,,2 922,,,,,,
2343,Перекрёсток,"г. Москва, ул. Ясногорская, д. 2",,,,2 343,,,,,,
2325,Перекрёсток,"г. Москва, Варшавское ш., 87 Б",,,,2 325,,,,,,
2135,Перекрёсток,"г. Санкт-Петербург, ул. Репищева, 13, к. 1",,,,2 135,,,,,,
В497,Перекрёсток,#Н/Д,,,,В497,,,,,,
В481,Перекрёсток,#Н/Д,,,,В481,,,,,,
В366,Перекрёсток,#Н/Д,,,,В366,,,,,,
2279,Перекрёсток,"г. Москва, ул. Маршала Полубоярова, 16 к.1",,,,2 279,,,,,,
2117,Перекрёсток,"г. Москва, ул. Островитянова,  д.7 ",,,,2 117,,,,,,
В480,Перекрёсток,#Н/Д,,,,В480,,,,,,
В229,Перекрёсток,#Н/Д,,,,В229,,,,,,
2000,Перекрёсток,"г. Москва, ул. Новокосинская, д.14 А",,,,2 000,,,,,,
2113,Перекрёсток,"г. Москва, Сосенское пос. ж/к Дубровка, ул.Сосновая д.6",,,,2 113,,,,,,
2265,Перекрёсток,"г. Санкт-Петербург, Малый просп. Васильевского острова, 88 ",,,,2 265,,,,,,
В263,Перекрёсток,#Н/Д,,,,В263,,,,,,
2002,Перекрёсток,"М.о., г. Реутов, ул. Южная, д.10 А",,,,2 002,,,,,,
2356,Перекрёсток,"г. Москва, ул.Дежнева, д.21",,,,2 356,,,,,,
2942,Перекрёсток,"г. Москва, ул. Усачева, дом 2, стр. 1",,,,2 942,,,,,,
2530,Перекрёсток,"г. Сочи, Адлерский р-н, c. Эстосадок , ул. Горная Карусель, 3",,,,2 530,,,,,,
В277,Перекрёсток,#Н/Д,,,,В277,,,,,,
В087,Перекрёсток,#Н/Д,,,,В087,,,,,,
В299,Перекрёсток,#Н/Д,,,,В299,,,,,,
В112,Перекрёсток,#Н/Д,,,,В112,,,,,,
2276,Перекрёсток,"г. Москва, ул.Коломенская, д. 7",,,,2 276,,,,,,
2281,Перекрёсток,"г. Тверь, Тверской проспект, 2",,,,2 281,,,,,,
2988,Перекрёсток,"г. Тверь, Комсомольский проспект, д. 11",,,,2 988,,,,,,
2105,Перекрёсток,"г. Москва, Ленинский пр-т, 99",,,,2 105,,,,,,
В204,Перекрёсток,#Н/Д,,,,В204,,,,,,
В491,Перекрёсток,#Н/Д,,,,В491,,,,,,
В365,Перекрёсток,#Н/Д,,,,В365,,,,,,
В033,Перекрёсток,#Н/Д,,,,В033,,,,,,
В512,Перекрёсток,#Н/Д,,,,В512,,,,,,
2084,Перекрёсток,#Н/Д,,,,2 084,,,,,,
2476,Перекрёсток,"г. Москва, пр-т Андропова, 22",,,,2 476,,,,,,
2227,Перекрёсток,"г. Москва, пр-т. Андропова, д. 36",,,,2 227,,,,,,
В032,Перекрёсток,#Н/Д,,,,В032,,,,,,
В220,Перекрёсток,#Н/Д,,,,В220,,,,,,
2123,Перекрёсток,"М.о., г. Видное, микрорайон Солнечный, д.10.",,,,2 123,,,,,,
2164,Перекрёсток,"г. Самара, Московское ш., 28",,,,2 164,,,,,,
2103,Перекрёсток,"г. Москва, ул. Коровий Вал, 1А, стр. 1",,,,2 103,,,,,,
2385,Перекрёсток,"г. Москва, Нагатинская ул., 16",,,,2 385,,,,,,
2444,Перекрёсток,"М.о., д. Алабино, 92 (48-49 км автомобильной дороги М3)",,,,2 444,,,,,,
2030,Перекрёсток,"г. Москва, Россошанский пр-т, д 3",,,,2 030,,,,,,
2483,Перекрёсток,"г. Тула, ул. Лейтейзена, 18",,,,2 483,,,,,,
2825,Перекрёсток,"г. Москва, ул. Магнитогорская, дом 2",,,,2 825,,,,,,
2912,Перекрёсток,"г. Москва, Шоссейная ул, 34/36 кор.1",,,,2 912,,,,,,
2458,Перекрёсток,"г. Москва, ул. Марксистская, 1",,,,2 458,,,,,,
2544,Перекрёсток,"г. Москва, ул. Воротынская, 18",,,,2 544,,,,,,
2322,Перекрёсток,"Л.о., г. Выборг, пр-кт. Победы, д., 16",,,,2 322,,,,,,
В060,Перекрёсток,#Н/Д,,,,В060,,,,,,
В392,Перекрёсток,#Н/Д,,,,В392,,,,,,
В084,Перекрёсток,#Н/Д,,,,В084,,,,,,
2631,Перекрёсток,#Н/Д,,,,2 631,,,,,,
2378,Перекрёсток,#Н/Д,,,,2 378,,,,,,
2083,Перекрёсток,#Н/Д,,,,2 083,,,,,,
В086,Перекрёсток,#Н/Д,,,,В086,,,,,,
В188,Перекрёсток,#Н/Д,,,,В188,,,,,,
В127,Перекрёсток,#Н/Д,,,,В127,,,,,,
B123,Перекрёсток,#Н/Д,,,,B123,,,,,,
B212,Перекрёсток,"г. Москва, ул. Каховка, 29",,,,B212,,,,,,
2394,Перекрёсток,"г. Москва, Сходненская, 25",,,,2 394,,,,,,
B343,Перекрёсток,"г. Мурманск, ул. Ленинградская, д., 20/3",,,,B343,,,,,,
В337,Перекрёсток,#Н/Д,,,,В337,,,,,,
B360,Перекрёсток,"М.о., Ленинский г.о., п.г.т. Лопатино, ул. Сухановская 1, стр. 1",,,,B360,,,,,,
B497,Перекрёсток,"г. Москва,  ул. Покровская 18 стр.1",,,,B497,,,,,,
B366,Перекрёсток,"г. Москва, ул. Рождественская д. 11",,,,B366,,,,,,
B204,Перекрёсток,"М.о., г. Истра, д. Покровское, ул. Центральная, 14А",,,,B204,,,,,,
2884,Перекрёсток,"г. Волжский, пр-т Ленина, 100",,,,2 884,,,,,,
2998,Перекрёсток,"г. Волгоград, ул. 50 лет Октября, д. 15А",,,,2 998,,,,,,
2332,Перекрёсток,"г. Москва, ул. Фрязевская, 3, к.1",,,,2 332,,,,,,
B110,Перекрёсток,"М.о, г. Реутов, Юбилейный проспект, д. 41",,,,B110,,,,,,
2551,Перекрёсток,"г. Владимир, Октябрьский пр-кт, 43",,,,2 551,,,,,,
2485,Перекрёсток,"Респ. Чувашия, г. Чебоксары, пр-т Максима Горького, д.10, стр.1",,,,2 485,,,,,,
2901,Перекрёсток,"Респ. Башкортостан, г. Уфа, ул. Мушникова, 13",,,,2 901,,,,,,
B215,Перекрёсток,"г. Воронеж, Ленинский пр-кт, 174П",,,,B215,,,,,,
2460,Перекрёсток,"г. Москва, ул Сормовская, д.6.",,,,2 460,,,,,,
2307,Перекрёсток,"г. Москва, ул. Земляной вал, дом 33",,,,2 307,,,,,,
2327,Перекрёсток,"М.о., г. Люберцы, ул. Побратимов, д. 7",,,,2 327,,,,,,
2813,Перекрёсток,"М.о., д. Сапроново, мкрн Купелинка, квартал Северный, 2",,,,2 813,,,,,,
2638,Перекрёсток,"г. Москва, Хорошевское ш., д.27",,,,2 638,,,,,,
B481,Перекрёсток,"М.о., г. Люберцы, пр-кт Гагарина, д.13",,,,B481,,,,,,
B480,Перекрёсток,"г. Москва, ул. Адмирала Лазарева, 2",,,,B480,,,,,,
B277,Перекрёсток,"г. Москва, р-н Внуково, ул. Корнея Чуковского, 2",,,,B277,,,,,,
B299,Перекрёсток,"г. Москва, п. Внуковское, ул.Омская 7А",,,,B299,,,,,,
B491,Перекрёсток,"г. Москва, Балаклавский проспект, 5 А",,,,B491,,,,,,
B365,Перекрёсток,"г. Волгоград, ул. Землячки, 110",,,,B365,,,,,,
B033,Перекрёсток,"г. Волгоград, ул. Рабоче-Крестьянская, дом 9Б",,,,B033,,,,,,
